Relative Time,Date,Time Stamp UTC,Volt,Volt,Volt,Volt,Chn 1 Events
2.23,2023-07-21,6:32:35 PM,1.051635742,0.000305176,-0.000915527,0,
2.24,2023-07-21,6:32:35 PM,1.051635742,0.000305176,-0.000915527,0.000305176,
2.25,2023-07-21,6:32:35 PM,1.051635742,0.000305176,-0.000915527,0.000305176,
2.26,2023-07-21,6:32:35 PM,1.05255127,0.000305176,-0.001220703,0.000305176,
2.27,2023-07-21,6:32:35 PM,1.053161621,0.000305176,-0.001220703,0.000305176,
2.28,2023-07-21,6:32:35 PM,1.053466797,0.000305176,-0.001220703,0.000305176,
2.29,2023-07-21,6:32:35 PM,1.054077148,0.000305176,-0.001220703,0.000305176,
2.3,2023-07-21,6:32:35 PM,1.054077148,0.000305176,-0.001220703,0.000305176,
2.31,2023-07-21,6:32:35 PM,1.053466797,0.000305176,-0.001220703,0.000305176,
2.32,2023-07-21,6:32:35 PM,1.05255127,0.000305176,-0.001220703,0.000305176,
2.33,2023-07-21,6:32:35 PM,1.051330566,0.000305176,-0.001220703,0.000305176,
2.34,2023-07-21,6:32:35 PM,1.050109863,0.000305176,-0.001220703,0.000305176,
2.35,2023-07-21,6:32:35 PM,1.049194336,0.000305176,-0.001220703,0.000305176,
2.36,2023-07-21,6:32:35 PM,1.049499512,0.000305176,-0.001220703,0.000305176,
2.37,2023-07-21,6:32:35 PM,1.050415039,0.000305176,-0.001220703,0.000305176,
2.38,2023-07-21,6:32:35 PM,1.051330566,0.000305176,-0.001220703,0.000305176,
2.39,2023-07-21,6:32:35 PM,1.051940918,0.000305176,-0.001220703,0.000305176,
2.4,2023-07-21,6:32:35 PM,1.052856445,0.000305176,-0.001220703,0.000305176,
2.41,2023-07-21,6:32:35 PM,1.052856445,0.000305176,-0.001220703,0.000305176,
2.42,2023-07-21,6:32:35 PM,1.051940918,0.000305176,-0.001220703,0.000305176,
2.43,2023-07-21,6:32:35 PM,1.051330566,0.000305176,-0.001220703,0.000305176,
2.44,2023-07-21,6:32:35 PM,1.050109863,0.000305176,-0.001220703,0.000305176,
2.45,2023-07-21,6:32:35 PM,1.04888916,0.000305176,-0.001220703,0.000305176,
2.46,2023-07-21,6:32:35 PM,1.048583984,0.000305176,-0.001220703,0.000305176,
2.47,2023-07-21,6:32:35 PM,1.049194336,0.000305176,-0.001220703,0.000305176,
2.48,2023-07-21,6:32:35 PM,1.050415039,0.000305176,-0.001220703,0.000305176,
2.49,2023-07-21,6:32:35 PM,1.051330566,0.000305176,-0.001220703,0.000305176,
2.5,2023-07-21,6:32:35 PM,1.051635742,0.000305176,-0.001220703,0.000305176,
2.51,2023-07-21,6:32:35 PM,1.051330566,0.000305176,-0.001220703,0.000305176,
2.52,2023-07-21,6:32:35 PM,1.051025391,0.000305176,-0.001220703,0.000305176,
2.53,2023-07-21,6:32:35 PM,1.050415039,0.000305176,-0.001220703,0.000305176,
2.54,2023-07-21,6:32:35 PM,1.049194336,0.000305176,-0.001220703,0.000305176,
2.55,2023-07-21,6:32:35 PM,1.047973633,0.000305176,-0.001220703,0.000305176,
2.56,2023-07-21,6:32:35 PM,1.047668457,0.000305176,-0.001220703,0.000305176,
2.57,2023-07-21,6:32:35 PM,1.047668457,0.000305176,-0.001220703,0.000305176,
2.58,2023-07-21,6:32:35 PM,1.047668457,0.000305176,-0.001220703,0.000305176,
2.59,2023-07-21,6:32:35 PM,1.048278809,0.000305176,-0.001220703,0.000305176,
2.6,2023-07-21,6:32:35 PM,1.04888916,0.000305176,-0.001220703,0.000305176,
2.61,2023-07-21,6:32:35 PM,1.049194336,0.000305176,-0.001220703,0,
2.62,2023-07-21,6:32:35 PM,1.049194336,0.000305176,-0.001220703,0,
2.63,2023-07-21,6:32:35 PM,1.04888916,0.000305176,-0.001220703,0,
2.64,2023-07-21,6:32:35 PM,1.047973633,0.000305176,-0.001220703,0,
2.65,2023-07-21,6:32:35 PM,1.047363281,0.000305176,-0.001220703,0,
2.66,2023-07-21,6:32:35 PM,1.047058105,0.000305176,-0.001220703,0,
2.67,2023-07-21,6:32:35 PM,1.047058105,0.000305176,-0.001220703,0,
2.68,2023-07-21,6:32:35 PM,1.04675293,0.000305176,-0.001220703,0,
2.69,2023-07-21,6:32:35 PM,1.047058105,0.000305176,-0.001220703,0.000305176,
2.7,2023-07-21,6:32:35 PM,1.047668457,0.000305176,-0.001220703,0.000305176,
2.71,2023-07-21,6:32:35 PM,1.048278809,0.000305176,-0.001220703,0.000305176,
2.72,2023-07-21,6:32:35 PM,1.048278809,0.000305176,-0.001220703,0.000305176,
2.73,2023-07-21,6:32:35 PM,1.047973633,0.000305176,-0.001220703,0.000305176,
2.74,2023-07-21,6:32:35 PM,1.047058105,0.000305176,-0.001220703,0.000305176,
2.75,2023-07-21,6:32:35 PM,1.046447754,0.000305176,-0.001220703,0.000305176,
2.76,2023-07-21,6:32:35 PM,1.046142578,0.000305176,-0.001220703,0.000305176,
2.77,2023-07-21,6:32:35 PM,1.046142578,0.000305176,-0.001220703,0.000305176,
2.78,2023-07-21,6:32:35 PM,1.045532227,0.000305176,-0.001220703,0.000305176,
2.79,2023-07-21,6:32:35 PM,1.045227051,0.000305176,-0.001220703,0,
2.8,2023-07-21,6:32:35 PM,1.045532227,0.000305176,-0.001220703,0,
2.81,2023-07-21,6:32:35 PM,1.045227051,0.000305176,-0.001220703,0,
2.82,2023-07-21,6:32:35 PM,1.045227051,0.000305176,-0.001220703,0,
2.83,2023-07-21,6:32:35 PM,1.045227051,0.000305176,-0.001220703,0,
2.84,2023-07-21,6:32:35 PM,1.045532227,0.000305176,-0.001220703,0,
2.85,2023-07-21,6:32:35 PM,1.045227051,0.000305176,-0.000915527,0,
2.86,2023-07-21,6:32:35 PM,1.044921875,0.000305176,-0.000915527,0,
2.87,2023-07-21,6:32:35 PM,1.044921875,0.000305176,-0.000915527,0,
2.88,2023-07-21,6:32:35 PM,1.044921875,0.000305176,-0.000915527,0,
2.89,2023-07-21,6:32:35 PM,1.044921875,0.000305176,-0.000915527,0,
2.9,2023-07-21,6:32:35 PM,1.044921875,0.000305176,-0.000915527,0.000305176,
2.91,2023-07-21,6:32:35 PM,1.044311523,0.000305176,-0.000915527,0.000305176,
2.92,2023-07-21,6:32:35 PM,1.043701172,0.000305176,-0.001220703,0,
2.93,2023-07-21,6:32:35 PM,1.043701172,0.000305176,-0.001220703,0,
2.94,2023-07-21,6:32:35 PM,1.043701172,0.000305176,-0.001220703,0,
2.95,2023-07-21,6:32:35 PM,1.043701172,0.000305176,-0.001220703,0,
2.96,2023-07-21,6:32:35 PM,1.044006348,0.000305176,-0.001220703,0,
2.97,2023-07-21,6:32:35 PM,1.044006348,0.000305176,-0.001220703,0.000305176,
2.98,2023-07-21,6:32:35 PM,1.044006348,0.000305176,-0.001220703,0.000305176,
2.99,2023-07-21,6:32:35 PM,1.044311523,0.000305176,-0.001220703,0.000305176,
3,2023-07-21,6:32:36 PM,1.044311523,0.000305176,-0.001220703,0.000305176,
3.01,2023-07-21,6:32:36 PM,1.043701172,0.000305176,-0.001220703,0.000305176,
3.02,2023-07-21,6:32:36 PM,1.042785645,0.000305176,-0.001220703,0.000305176,
3.03,2023-07-21,6:32:36 PM,1.042175293,0.000305176,-0.001220703,0.000305176,
3.04,2023-07-21,6:32:36 PM,1.041564941,0.000305176,-0.001220703,0.000305176,
3.05,2023-07-21,6:32:36 PM,1.04095459,0.000305176,-0.001220703,0.000305176,
3.06,2023-07-21,6:32:36 PM,1.041564941,0.000305176,-0.001220703,0,
